plate+AF8-well+AF8-neuron,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RGEDIMachineLearning1,0,14.29,38.22,66.93,100.58,115.69,133.96,157.96,,,,,,,,
RGEDIMachineLearning2,0,11.23,35.17,63.88,97.52,145.6,164.08,188.08,,,,,,,,
RGEDIMachineLearning3,0,24.05,48.02,88.75,107.25,120.35,142.98,167.05,,,,,,,,
RGEDIMachineLearning4,0,24.07,48.03,88.74,107.24,138.16,161.02,185.04,,,,,,,,
RGEDIMachineLearning5,0,15.12,24.73,34.66,48.01,58.63,72.01,82.62,99.88,107.62,120,130.61,144,156.06,168.01,178.51
RGEDIMachineLearning6,0,8.11,32.1,56.1,80.1,104.09,128.09,152.08,,,,,,,,
RGEDIMachineLearning7,0,23.42,47.42,71.43,95.43,118.42,143.41,167.41,,,,,,,,
RGEDIMachineLearning8,0,24,48,72,96,119.99,158.17,169.9,,,,,,,,
RGEDIMachineLearning9,0,24.01,48,72,95.99,119.99,157.51,169.3,,,,,,,,
RGEDIMachineLearning10,0,24,48,72,96,120,144,168,,,,,,,,
RGEDIMachineLearning11,0,24,48,72,96,120,144,168,,,,,,,,
RGEDIMachineLearning12,0,24,48,72,96,120,144.01,168,,,,,,,,
RGEDIMachineLearning13,0,24.01,48,72,96,120,144.01,168.01,,,,,,,,
RGEDIMachineLearning14,0,13,37.22,61.17,85.15,109.21,132.99,156.99,,,,,,,,
RGEDIMachineLearning15,0,13.01,37.01,60.99,85,109.01,132.99,156.98,,,,,,,,
RGEDIMachineLearning16,0,13,37,61.01,85,109,133,157,,,,,,,,
RGEDIMachineLearning17,0,15,39.19,63.07,87,111.01,135.25,159,,,,,,,,
RGEDIMachineLearning18,0,24,48,52.55,72.35,75.12,75.91,79.48,87.45,95.97,100.46,109.46,142.19,146.45,,
RGEDIMachineLearning19,0,24,48,72,96,120,144,,,,,,,,,
RGEDIMachineLearning20,0,24,48,72.01,96,120,144,,,,,,,,,
RGEDIMachineLearning21,0,24.01,48.01,72.01,96.01,120.01,144.01,168,,,,,,,,
RGEDIMachineLearning22,0,24,50.49,98.49,110.73,126.5,150.5,183.66,,,,,,,,
RGEDIMachineLearning23,0,24,50.29,98.28,110.53,126.51,150.51,183.46,,,,,,,,
RGEDIMachineLearning24,0,20.31,50.81,92.84,105.09,122.81,146.81,177.28,,,,,,,,
RGEDIMachineLearning25,0,20.52,51.02,92.84,105.09,123.02,147.02,177.31,,,,,,,,
RGEDIMachineLearning26,0,17.55,38,62.01,86.01,110.01,134.02,158.02,,,,,,,,
RGEDIMachineLearning28,0,18.46,42.21,66.27,90.22,114.21,138.21,162.21,,,,,,,,
RGEDIMachineLearning29,0,18.46,42.41,66.41,90.42,114.42,138.42,162.42,,,,,,,,
GEDIhttGlutamate3,0,24.00,48.00,52.55,72.35,75.12,75.91,79.48,87.45,95.97,100.46,109.46,142.19,146.45,,
GEDIhttGlutamate4,0,6.67,18.07,40.74,52.74,76.02,88.02,115.46,123.30,142.41,171.36,211.57,240.73,247.45,259.14,
GEDIhttGlutamate5,0,21.75,45.74,81.71,84.47,86.67,88.25,90.94,93.21,97.71,,,,,,
JeremyGCAMP79,0,24.25,35.58,52.7,76.73,100.72,124.72,148.72,172.72,,,,,,,
