plate+AF8-well+AF8-neuron,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RGEDIMachineLearning3,0,24.05,48.02,88.75,107.25,120.35,142.98,167.05,,,,,,,,
RGEDIMachineLearning4,0,24.07,48.03,88.74,107.24,138.16,161.02,185.04,,,,,,,,
RGEDIMachineLearning7,0,23.42,47.42,71.43,95.43,118.42,143.41,167.41,,,,,,,,
RGEDIMachineLearning8,0,24,48,72,96,119.99,158.17,169.9,,,,,,,,
RGEDIMachineLearning9,0,24.01,48,72,95.99,119.99,157.51,169.3,,,,,,,,
RGEDIMachineLearning10,0,24,48,72,96,120,144,168,,,,,,,,
RGEDIMachineLearning11,0,24,48,72,96,120,144,168,,,,,,,,
RGEDIMachineLearning12,0,24,48,72,96,120,144.01,168,,,,,,,,
RGEDIMachineLearning13,0,24.01,48,72,96,120,144.01,168.01,,,,,,,,
RGEDIMachineLearning18,0,24,48,52.55,72.35,75.12,75.91,79.48,87.45,95.97,100.46,109.46,142.19,146.45,,
RGEDIMachineLearning19,0,24,48,72,96,120,144,,,,,,,,,
RGEDIMachineLearning20,0,24,48,72.01,96,120,144,,,,,,,,,
RGEDIMachineLearning21,0,24.01,48.01,72.01,96.01,120.01,144.01,168,,,,,,,,
RGEDIMachineLearning22,0,24,50.49,98.49,110.73,126.5,150.5,183.66,,,,,,,,
RGEDIMachineLearning23,0,24,50.29,98.28,110.53,126.51,150.51,183.46,,,,,,,,
GEDIhttGlutamate3,0,24.00,48.00,52.55,72.35,75.12,75.91,79.48,87.45,95.97,100.46,109.46,142.19,146.45,,
JeremyGCAMP79,0,24.25,35.58,52.7,76.73,100.72,124.72,148.72,172.72,,,,,,,
