index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,PID20170214_RGEDIMachineLearning22_A1_1,0.141952371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,PID20170214_RGEDIMachineLearning22_A1_10,0.015421106,0.016902008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,PID20170214_RGEDIMachineLearning22_A1_11,0.014015516,0.015824879,0.015511666,0.015953109,0.014300493,0.012192703,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,PID20170214_RGEDIMachineLearning22_A1_12,0.016863125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,PID20170214_RGEDIMachineLearning22_A1_13,0.165512392,0.013316612,0.014128537,0.014329669,0.015109725,0.013641635,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,PID20170214_RGEDIMachineLearning22_A1_14,0.015732689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,PID20170214_RGEDIMachineLearning22_A1_15,0.018015766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,PID20170214_RGEDIMachineLearning22_A1_16,0.019822323,0.222387298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,PID20170214_RGEDIMachineLearning22_A1_17,0.017504954,0.019949806,0.027066659,0.026907019,0.028026171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,PID20170214_RGEDIMachineLearning22_A1_18,0.018279453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,PID20170214_RGEDIMachineLearning22_A1_19,0.164986781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,PID20170214_RGEDIMachineLearning22_A1_2,0.01945624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,PID20170214_RGEDIMachineLearning22_A1_20,0.015123189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,PID20170214_RGEDIMachineLearning22_A1_21,0.017908985,0.014987047,0.017162545,0.016925055,0.019159896,0.022063715,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,PID20170214_RGEDIMachineLearning22_A1_22,0.01549148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
