line,wells,type
RGEDIMachineLearning26,A,Huntington25
RGEDIMachineLearning26,B,Huntington25
RGEDIMachineLearning26,C,Huntington25
RGEDIMachineLearning26,D,Huntington25
RGEDIMachineLearning26,E,Huntington97
RGEDIMachineLearning26,F,Huntington97
RGEDIMachineLearning26,G,Huntington97
RGEDIMachineLearning26,H,Huntington97
RGEDIMachineLearning28,A,normal
RGEDIMachineLearning28,B,normal
RGEDIMachineLearning28,C,normal
RGEDIMachineLearning28,D,normal
RGEDIMachineLearning28,E,parkinson
RGEDIMachineLearning28,F,parkinson
RGEDIMachineLearning28,G,parkinson
RGEDIMachineLearning28,H,parkinson
RGEDIMachineLearning29,A,normal
RGEDIMachineLearning29,B,normal
RGEDIMachineLearning29,C,normal
RGEDIMachineLearning29,D,normal
RGEDIMachineLearning29,E,FTD
RGEDIMachineLearning29,F,FTD
RGEDIMachineLearning29,G,FTD
RGEDIMachineLearning29,H,FTD
GEDIhttGlutamate4,A,Htt25
GEDIhttGlutamate4,B,Htt25
GEDIhttGlutamate4,C,Htt25
GEDIhttGlutamate4,D,Htt25
