,index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,PID20170214_RGEDIMachineLearning22_A1_1,0.141952371,,,,,,,,,,,,,,
1,2,PID20170214_RGEDIMachineLearning22_A1_10,0.015421106,0.016902008,,,,,,,,,,,,,
2,3,PID20170214_RGEDIMachineLearning22_A1_11,0.014015516,0.015824879,0.015511666,0.015953109,0.014300493,0.012192703,,,,,,,,,
3,4,PID20170214_RGEDIMachineLearning22_A1_12,0.016863125,,,,,,,,,,,,,,
4,5,PID20170214_RGEDIMachineLearning22_A1_13,0.165512392,0.013316612,0.014128537,0.014329669,0.015109725,0.013641635,,,,,,,,,
5,6,PID20170214_RGEDIMachineLearning22_A1_14,0.015732689,,,,,,,,,,,,,,
6,7,PID20170214_RGEDIMachineLearning22_A1_15,0.018015766,,,,,,,,,,,,,,
7,8,PID20170214_RGEDIMachineLearning22_A1_16,0.019822323,0.222387298,,,,,,,,,,,,,
8,9,PID20170214_RGEDIMachineLearning22_A1_17,0.017504954,0.019949806,0.027066659,0.026907019,0.028026171,,,,,,,,,,
9,10,PID20170214_RGEDIMachineLearning22_A1_18,0.018279453,,,,,,,,,,,,,,
10,11,PID20170214_RGEDIMachineLearning22_A1_19,0.164986781,,,,,,,,,,,,,,
11,12,PID20170214_RGEDIMachineLearning22_A1_2,0.01945624,,,,,,,,,,,,,,
12,13,PID20170214_RGEDIMachineLearning22_A1_20,0.015123189,,,,,,,,,,,,,,
13,14,PID20170214_RGEDIMachineLearning22_A1_21,0.017908985,0.014987047,0.017162545,0.016925055,0.019159896,0.022063715,,,,,,,,,
14,15,PID20170214_RGEDIMachineLearning22_A1_22,0.01549148,,,,,,,,,,,,,,
15,16,PID20170214_RGEDIMachineLearning22_A1_23,0.0148284,0.16591503,,,,,,,,,,,,,
16,17,PID20170214_RGEDIMachineLearning22_A1_24,0.0175493,0.02072939,0.023037198,0.023547341,0.022710274,0.023580604,,,,,,,,,
17,18,PID20170214_RGEDIMachineLearning22_A1_25,0.016007066,0.018870426,0.019215472,0.017965012,0.018309637,0.018856812,,,,,,,,,
18,19,PID20170214_RGEDIMachineLearning22_A1_26,0.018701481,0.019250424,0.030092544,0.028331571,0.026659299,0.031995419,,,,,,,,,
19,20,PID20170214_RGEDIMachineLearning22_A1_27,0.016717446,,,,,,,,,,,,,,
20,21,PID20170214_RGEDIMachineLearning22_A1_28,0.016469286,,,,,,,,,,,,,,
21,22,PID20170214_RGEDIMachineLearning22_A1_29,0.018640665,0.028831456,,,,,,,,,,,,,
22,23,PID20170214_RGEDIMachineLearning22_A1_3,0.140111925,,,,,,,,,,,,,,
23,24,PID20170214_RGEDIMachineLearning22_A1_30,0.013756146,0.017857962,0.026912876,0.023828186,0.024984315,0.026936774,0.156906894,,,,,,,,
24,25,PID20170214_RGEDIMachineLearning22_A1_31,0.105831928,,,,,,,,,,,,,,
25,26,PID20170214_RGEDIMachineLearning22_A1_32,0.016823734,0.016699924,0.019064343,0.019118489,0.018834379,0.018427945,,,,,,,,,
26,27,PID20170214_RGEDIMachineLearning22_A1_33,0.016225241,0.018259401,0.021818623,0.019814202,0.02009379,0.021957456,,,,,,,,,
27,28,PID20170214_RGEDIMachineLearning22_A1_34,0.014828138,0.019218288,0.018242631,0.017705976,0.018970564,0.019830554,0.141042201,,,,,,,,
28,29,PID20170214_RGEDIMachineLearning22_A1_35,0.015836324,,,,,,,,,,,,,,
29,30,PID20170214_RGEDIMachineLearning22_A1_36,0.015441994,,,,,,,,,,,,,,
30,31,PID20170214_RGEDIMachineLearning22_A1_37,0.016684535,0.016989321,0.018756146,0.016762842,0.017302634,,,,,,,,,,
31,32,PID20170214_RGEDIMachineLearning22_A1_38,0.016864651,0.017813969,0.020737917,0.019412663,0.020602108,0.021073738,,,,,,,,,
32,33,PID20170214_RGEDIMachineLearning22_A1_39,0.285951222,,,,,,,,,,,,,,
33,34,PID20170214_RGEDIMachineLearning22_A1_4,0.014677702,,,,,,,,,,,,,,
34,35,PID20170214_RGEDIMachineLearning22_A1_40,0.012544412,0.018072832,0.018590439,0.017303495,0.016474905,0.017267582,0.188094631,,,,,,,,
35,36,PID20170214_RGEDIMachineLearning22_A1_41,0.12093281,,,,,,,,,,,,,,
