,0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,index,plate_well_neuron,disease
70544,0.014873265,0.017144457,,,,,,,,,,,,,,,70545,RGEDIMachineLearning28_A1_1,normal
70545,0.016119277,,,,,,,,,,,,,,,,70546,RGEDIMachineLearning28_A1_10,normal
70546,0.018719139,0.018288716,,,,,,,0.131947599,,,,,,,,70547,RGEDIMachineLearning28_A1_11,normal
70547,0.110907694,0.014166572,,,,,,,0.015875947,,,,,,,,70548,RGEDIMachineLearning28_A1_12,normal
70548,0.011558804,,,,,,,,,,,,,,,,70549,RGEDIMachineLearning28_A1_2,normal
70549,0.016216875,0.016568117,,,,,,,,,,,,,,,70550,RGEDIMachineLearning28_A1_3,normal
70550,0.015686797,0.017093742,,,,,,,0.019424096,0.020793644,0.023611325,0.022916409,0.022758438,0.023293645,,,70551,RGEDIMachineLearning28_A1_4,normal
70551,0.017391247,0.019497036,,,,,,,0.021099339,0.02106106,0.022774052,0.025915014,0.025501582,0.146256928,,,70552,RGEDIMachineLearning28_A1_5,normal
70552,0.01694571,0.017916924,,,,,,,0.017888918,0.017796815,0.01902454,0.017787724,0.018266223,0.017280929,,,70553,RGEDIMachineLearning28_A1_6,normal
70553,0.014874941,0.015539621,,,,,,,0.017784866,0.019711371,0.018882838,,,,,,70554,RGEDIMachineLearning28_A1_7,normal
70554,0.017778479,,,,,,,,,,,,,,,,70555,RGEDIMachineLearning28_A1_8,normal
70555,0.01782004,0.020972604,,,,,,,,,,,,,,,70556,RGEDIMachineLearning28_A1_9,normal
70556,0.014346023,,,,,,,,,,,,,,,,70557,RGEDIMachineLearning28_A10_1,normal
70557,0.016597567,,,,,,,,,,,,,,,,70558,RGEDIMachineLearning28_A10_10,normal
70558,0.015917009,,,,,,,,,,,,,,,,70559,RGEDIMachineLearning28_A10_11,normal
70559,0.015555791,,,,,,,,,,,,,,,,70560,RGEDIMachineLearning28_A10_12,normal
70560,0.013916898,0.01664703,,,,,,,0.017353791,0.017966747,,,,,,,70561,RGEDIMachineLearning28_A10_13,normal
70561,0.016917177,0.018026591,,,,,,,0.026889561,0.136134014,,,,,,,70562,RGEDIMachineLearning28_A10_14,normal
70562,0.157243613,,,,,,,,,,,,,,,,70563,RGEDIMachineLearning28_A10_2,normal
70563,0.014304785,0.016999315,,,,,,,0.016463775,0.01731568,0.018320186,,,,,,70564,RGEDIMachineLearning28_A10_3,normal
70564,0.014302261,0.017739044,,,,,,,0.019174398,0.019294694,0.018143091,0.018290092,0.019934214,0.019184661,,,70565,RGEDIMachineLearning28_A10_4,normal
70565,0.018578374,0.022909676,,,,,,,0.026158175,0.026374633,0.025733422,0.169250628,,,,,70566,RGEDIMachineLearning28_A10_5,normal
70566,0.012060067,0.017421725,,,,,,,0.131231277,,,,,,,,70567,RGEDIMachineLearning28_A10_6,normal
70567,0.015380205,0.017656538,,,,,,,,,,,,,,,70568,RGEDIMachineLearning28_A10_7,normal
70568,0.012321505,0.13494262,,,,,,,,,,,,,,,70569,RGEDIMachineLearning28_A10_8,normal
70569,0.018651885,0.02564874,,,,,,,0.02878895,0.033685902,0.338270389,0.362646121,0.352193823,,,,70570,RGEDIMachineLearning28_A10_9,normal
70570,0.017300646,0.145604527,,,,,,,,,,,,,,,70571,RGEDIMachineLearning28_A11_1,normal
70571,0.01115649,0.015241933,,,,,,,0.143642924,,,,,,,,70572,RGEDIMachineLearning28_A11_10,normal
70572,0.01651991,,,,,,,,,,,,,,,,70573,RGEDIMachineLearning28_A11_11,normal
70573,0.014862948,0.015923565,,,,,,,0.015668228,0.016441328,0.016848317,0.015567746,0.016057673,0.017516588,,,70574,RGEDIMachineLearning28_A11_12,normal
70574,0.016518055,0.160434476,,,,,,,,,,,,,,,70575,RGEDIMachineLearning28_A11_13,normal
70575,0.017059736,,,,,,,,,,,,,,,,70576,RGEDIMachineLearning28_A11_14,normal
70576,0.017068613,,,,,,,,,,,,,,,,70577,RGEDIMachineLearning28_A11_15,normal
70577,0.017873937,0.018441842,,,,,,,0.017582508,0.019794108,0.019455856,0.01871403,0.01619534,0.015673254,,,70578,RGEDIMachineLearning28_A11_16,normal
70578,0.015449611,0.147686635,,,,,,,,,,,,,,,70579,RGEDIMachineLearning28_A11_17,normal
70579,0.016303633,,,,,,,,,,,,,,,,70580,RGEDIMachineLearning28_A11_18,normal
70580,0.120625715,0.115224976,,,,,,,,,,,,,,,70581,RGEDIMachineLearning28_A11_19,normal
70581,0.015146223,0.01685958,,,,,,,0.016877632,0.173611242,,,,,,,70582,RGEDIMachineLearning28_A11_2,normal
70582,0.015685142,0.146028189,,,,,,,,,,,,,,,70583,RGEDIMachineLearning28_A11_20,normal
70583,0.017553546,0.018363446,,,,,,,0.022590865,,,,,,,,70584,RGEDIMachineLearning28_A11_21,normal
70584,0.016031919,0.017836359,,,,,,,0.018463497,0.018571707,0.017775682,0.017686672,0.017549662,0.019721475,,,70585,RGEDIMachineLearning28_A11_22,normal
